Name,Team,PA,FF,wFT/C,FC,FS,wFO/C,SI,SL,CU,wKC/C,wEP/C,CH,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Bryce Harper","PHI",580,1.3685605742714622,,2.8872648874918623,-0.54456507031982,6.123773008584976,0.04059020039084908,1.073264990228906,-0.0022783013644503123,-1.0008708635965984,,3.061463402920082,,-4.012841257182035,"Bryce Harper",11579,547180
"J.T. Realmuto","PHI",550,-0.32292842104484404,,-2.081507540004139,1.032709151926175,0.5497664213180542,-1.2009447880005568,1.1820928240806479,-0.3486751317977905,-1.8013907968997953,19.27044689655304,-1.8930914215228527,,-4.318116392408099,"J.T. Realmuto",11739,592663
"José Ramírez","CLE",673,1.2335470277969152,,-0.004836041546120661,2.1561215109858956,,0.8752847746979419,-0.37398867835216476,1.5731610749897202,-1.1492062306058581,,1.9937288833096236,,-6.082005053758621,"Jose Ramirez",13510,608070
"Ernie Clement","TOR",588,-0.7908950328826905,,0.49655233718910996,1.5848181077412198,,0.30122278065517033,-1.2063340442936594,-2.010117483533118,-2.100446132513193,37.69925965203179,0.31582023948431015,,-6.407279272874196,"Ernie Clement",20352,676391
"Lawrence Butler","ATH",630,-0.2339338262875875,,-1.17235349503574,0.34869441555605996,,1.0753860076268515,0.019918030144971444,1.0808352452174872,-0.6145505410320354,-14.472070336341858,-0.9477365440523564,,-12.765638530254364,"Lawrence Butler",22542,671732
"Freddie Freeman","LAD",627,0.945464064495993,,2.866512736635345,5.862597985701128,13.714475631713869,-0.8246212800343832,0.43497225662028444,1.449929991143239,-1.9618347042896709,,1.839262225252368,,,"Freddie Freeman",5361,518692
"Jose Altuve","HOU",654,1.9361095641975972,,0.19242897839613365,1.2411142267831943,,0.11387418987404588,-0.8301773959139952,0.41831418764676975,-1.5705274908166182,,-1.784796160320903,,,"Jose Altuve",5417,514888
"Salvador Perez","KCR",641,-0.2624120004763006,,2.659332560982934,-3.3198678268576565,-23.04551899433136,0.05997831137022386,-0.30951570830248143,-0.6810164139940847,3.533467333367531,-2.779441326856613,-2.5356074803555173,,,"Salvador Perez",7304,521692
"Paul Goldschmidt","NYY",534,0.6218155732931802,,0.7898877967487682,-0.11329437295595805,,-1.187971288507635,-0.29436283386670625,1.5396012669115995,-0.952586717903614,,0.8091730915981791,,,"Paul Goldschmidt",9218,502671
"Andrew McCutchen","PIT",551,-1.5796513290879148,,1.277899355501742,3.626197576522827,,-1.0025714573107267,-0.07550208263304477,0.1248116690688338,2.71583773471691,46.637773513793945,2.12250917385786,,,"Andrew McCutchen",9847,457705
