Name,Team,IP,FF,wFT/C,FC,FS,wFO/C,SI,SL,CU,wKC/C,wEP/C,CH,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Dylan Cease","SDP",168,-0.22557943392866336,,,,,-0.9021326899528503,0.5570024494591861,,-1.7017750512985956,,1.3914211707956652,,,"Dylan Cease",18525,656302
"Freddy Peralta","MIL",176.2,0.759411724605826,,,,,,1.0199108484274744,0.6343875194619769,,,1.3072057534720152,,,"Freddy Peralta",18679,642547
"Sandy Alcantara","MIA",174.2,-0.5419349670410156,,,,,1.1021681012415359,0.884171536094264,-1.1746757089977302,,,-0.2637348246218553,,,"Sandy Alcantara",18684,645261
"Zac Gallen","ARI",192,0.46927059953801614,,-3.1884851036490978,,,-0.28007069191375333,-1.351607267835499,,-0.22997292487517648,,0.7957674548059642,,,"Zac Gallen",19291,668678
"Dean Kremer","BAL",171.2,-0.08359256283990268,,0.09333457296944016,0.9135266074864687,,0.23295343853533268,0.8875914538900057,-0.14939939516574838,,,,,,"Dean Kremer",19350,665152
"Jesús Luzardo","PHI",183.2,-0.3802372162622974,,,,,0.47350393181227374,1.1626840047410265,,,,1.0383667277740654,,,"Jesus Luzardo",19959,666200
"David Peterson","NYM",168.2,-1.0007534401701632,,,,,0.648919821995769,-0.2876309230346088,1.2399945387969145,,,1.4944510759362852,,,"David Peterson",20302,656849
"Yusei Kikuchi","LAA",178.1,-1.2407285212147137,,,,,0.25179829034540385,0.31140586815794274,0.4646023281482088,,,0.3446799867293414,,,"Yusei Kikuchi",20633,579328
"Cristopher Sánchez","PHI",202,,,,,,1.4924622154808618,-0.1948937185093172,,,,1.824657232367321,,,"Cristopher Sanchez",20778,650911
"Joe Ryan","MIN",171,1.537703980099071,,,-2.0466676212492443,,-0.9138911013390607,-0.2645717008383411,0.915031342042817,,,,,,"Joe Ryan",21390,657746
"Jake Irvin","WSN",180,-1.285575536387523,,1.7163412630065413,,,0.7345984225671727,0.0020407438846944854,-1.260481405695644,,,-3.5651294808638725,,,"Jake Irvin",21504,663623
"José Soriano","LAA",169,0.6610564108174216,,,0.8787825703620911,,0.6962607478537755,-2.5696325302124023,,0.35198355815027726,,-0.7373832166194916,,,"Jose Soriano",22100,667755
"Shane Baz","TBR",166.1,0.49407562019437606,,-0.9460748434066771,,,,-9.069285160157738,,0.38874074307088163,,-0.36798029467223925,,,"Shane Baz",22264,669358
"Tarik Skubal","DET",195.1,1.0929334461334628,,,-5.957216024398804,,0.9369423477737991,1.1541121461418238,-0.19034609387192544,,,2.9897035566788146,,,"Tarik Skubal",22267,669373
"Brayan Bello","BOS",166.2,-0.49544350773680446,,0.8462432005726699,,,0.8158469756360018,-0.1508579965223346,,,,-0.018061533933732568,,,"Brayan Bello",23920,678394
"Brady Singer","CIN",169.2,-0.7681094560047125,,-0.14146903286809506,,,-0.026320026534414866,0.5333227846831456,,,,,,,"Brady Singer",25377,663903
"Hunter Brown","HOU",185.1,1.374735344780816,,-0.6583871637902609,,,1.2229239068380215,0.9945149640090594,,1.765281209405863,,0.6716627083467633,,,"Hunter Brown",25880,686613
"Andre Pallante","STL",162.2,-0.7348659241537817,,,,,-0.6279099649853176,0.12836761572296884,,-1.1500515024180173,,,,,"Andre Pallante",26108,669467
"Ryan Pepiot","TBR",167.2,-0.06012136855865955,,1.0815040144340071,,,3.005548498847268,-0.4761874032072063,0.882010781363155,,,0.7756144205729166,,,"Ryan Pepiot",26221,686752
"Garrett Crochet","BOS",205.1,-0.8012054677595172,,1.1956888791088645,,,2.6693757758083114,2.7952845827991744,,,,1.6648321009393947,,,"Garrett Crochet",27463,676979
"Mitchell Parker","WSN",164.2,-0.26278335360349775,,,-0.4735061691866981,,,-0.7240611573924188,-0.9598836352929524,,,,,,"Mitchell Parker",27636,680730
"Brandon Pfaadt","ARI",176.2,-0.13776934059867024,,1.6086819528163165,,,0.39538760339060136,-2.048938414629768,-3.2450081980352175,,,-0.4315399136678326,,,"Brandon Pfaadt",27782,694297
"Andrew Abbott","CIN",166.1,0.951998930362511,,-2.4248255854067593,,,,-0.0013314752882412134,0.6943193402620826,,,0.8420593385007444,,,"Andrew Abbott",29911,671096
"Gavin Williams","CLE",167.2,-0.569385535544686,,0.39672883545480125,,,1.1827798705026893,0.6513752467891712,1.0659426818659274,,,0.6332883611321449,,,"Gavin Williams",30122,668909
"Tanner Bibee","CLE",182.1,-0.5348337694929152,,1.0059953504993069,,,-0.07426811802771784,0.9608791229572702,-0.5323275139457301,,,-0.39215318361918133,,,"Tanner Bibee",30134,676440
"Will Warren","NYY",162.1,0.7517010766549171,,,,,0.8604493270925924,-1.8365249501792618,-2.3593970707484653,,,-1.9658586328679868,,,"Will Warren",30182,701542
"Bryan Woo","SEA",186.2,2.032540872147189,,,,,1.1993610206186256,0.2807573579690036,,,,-1.3744676669026905,,,"Bryan Woo",30279,693433
"Paul Skenes","PIT",187.2,1.8201131087083082,,,0.7139643130500626,,1.3933573145165665,1.5236627558099431,-3.255830492292132,,,2.5395071579634774,,,"Paul Skenes",33677,694973
"Yoshinobu Yamamoto","LAD",173.2,1.6678825470523337,,1.867205312275343,1.4390460515426378,,0.8698471995632043,0.9856289625167847,1.0257134369580179,,,,,,"Yoshinobu Yamamoto",33825,808967
